,borouch,block,zipCode,residental units,gross square,taxClass,sale price
3370,2,3713,5,0,1044,4,2075000
3371,2,3473,5,0,3520,4,550000
3372,2,5421,5,1,1140,1,335000
3373,2,5426,5,1,1070,1,499000
3374,2,5427,5,1,1008,1,450000
3375,2,5428,5,1,800,1,270000
3376,2,5428,5,1,964,1,545000
3377,2,5429,5,1,1332,1,470000
3378,2,5432,5,1,1890,1,535000
3379,2,5432,5,1,1572,1,375000
3380,2,5432,5,1,1665,1,405000
3381,2,5439,5,1,1402,1,430000
3382,2,5441,5,1,1044,1,419000
3383,2,5450,5,1,1944,1,420000
3384,2,5487,5,1,1200,1,210000
3385,2,5488,5,1,1532,1,450000
3386,2,5500,5,1,884,1,329000
3387,2,5502,5,1,672,1,380000
3388,2,5504,5,1,1008,1,386500
3389,2,5505,5,1,960,1,300000
3390,2,5505,5,1,1328,1,350000
3391,2,5505,5,1,960,1,418000
3392,2,5515,5,1,1224,1,455000
3393,2,5515,5,1,1224,1,445000
3394,2,5515,5,1,1224,1,280000
3395,2,5515,5,1,1224,1,422500
3396,2,5518,5,1,1224,1,439000
3397,2,5518,5,1,1732,1,499000
3398,2,5518,5,1,1798,1,360000
3399,2,5519,5,1,1944,1,500000
3400,2,5519,5,1,846,1,275000
3401,2,5519,5,1,672,1,354028
3402,2,5521,5,1,1332,1,440000
3403,2,5521,5,1,1948,1,512500
3404,2,5521,5,1,1620,1,500000
3405,2,5524,5,1,1900,1,525000
3406,2,5524,5,1,1426,1,250000
3407,2,5526,5,1,810,1,340000
3408,2,5526,5,1,1620,1,412000
3409,2,5526,5,1,1056,1,435000
3410,2,5526,5,1,630,1,300000
3411,2,5527,5,1,1820,1,659000
3412,2,5527,5,1,1898,1,600000
3413,2,5527,5,1,1332,1,449900
3414,2,5527,5,1,1240,1,325000
3415,2,5529,5,1,2500,1,400000
3416,2,5529,5,1,884,1,439000
3417,2,5529,5,1,468,1,430000
3418,2,5529,5,1,558,1,217300
3419,2,5531,5,1,1280,1,430000
3420,2,5532,5,1,1258,1,465000
3421,2,5532,5,1,1434,1,225000
3422,2,5533,5,1,1230,1,565000
3423,2,5534,5,1,1296,1,440000
3424,2,5534,5,1,1296,1,529000
3425,2,5534,5,1,1200,1,515000
3426,2,5534,5,1,859,1,200000
3427,2,5535,5,1,1318,1,555000
3428,2,5535,5,1,1908,1,295000
3429,2,5535,5,1,2133,1,348500
3430,2,5536,5,1,1944,1,390000
3431,2,5537,5,1,1835,1,493500
3432,2,5544,5,1,1641,1,325000
3433,2,5544,5,1,1479,1,598000
3434,2,5544,5,1,2068,1,426000
3435,2,5545,5,1,1050,1,385000
3436,2,5545,5,1,1487,1,405000
3437,2,5546,5,1,1463,1,395000
3438,2,5546,5,1,1592,1,429000
3439,2,5547,5,1,1769,1,380000
3440,2,5547,5,1,825,1,450000
3441,2,5559,5,1,1118,1,278850
3442,2,5559,5,1,1033,1,359000
3443,2,5577,5,1,1526,1,425000
3444,2,5577,5,1,2130,1,550000
3445,2,5579,5,1,1520,1,318000
3446,2,5579,5,1,1520,1,595204
3447,2,5579,5,1,1520,1,387000
3448,2,5579,5,1,1192,1,275000
3449,2,5580,5,1,1568,1,459000
3450,2,5580,5,1,944,1,710000
3451,2,5582,5,1,1998,1,475000
3452,2,5589,5,1,1589,1,435000
3453,2,5589,5,1,1683,1,460000
3454,2,5590,5,1,1782,1,469000
3455,2,5591,5,1,1012,1,410000
3456,2,5591,5,1,2140,1,449000
3457,2,5592,5,1,1636,1,480000
3458,2,5592,5,1,2227,1,470000
3459,2,5592,5,1,1728,1,385121
3460,2,5592,5,1,1728,1,385121
3461,2,5592,5,1,1728,1,482500
3462,2,5592,5,1,1633,1,420000
3463,2,5593,5,1,1224,1,420000
3464,2,5594,5,1,1080,1,422000
3465,2,5594,5,1,1080,1,438000
3466,2,5594,5,1,1224,1,389000
3467,2,5595,5,1,1998,1,500000
3468,2,5595,5,1,1998,1,300000
3469,2,5595,5,1,1998,1,597570
3470,2,5597,5,1,1138,1,430500
3471,2,5597,5,1,820,1,503000
3472,2,5598,5,1,1100,1,399000
3473,2,5599,5,1,1666,1,440000
3474,2,5600,5,1,1368,1,499000
3475,2,5600,5,1,1368,1,220000
3476,2,5601,5,1,1358,1,365000
3477,2,5603,5,1,1026,1,350000
3478,2,5419,5,2,2472,1,650000
3479,2,5422,5,2,2552,1,665000
3480,2,5425,5,2,2070,1,292500
3481,2,5427,5,2,1824,1,635000
3482,2,5430,5,2,1616,1,599000
3483,2,5433,5,2,1672,1,390390
3484,2,5437,5,2,2454,1,230500
3485,2,5437,5,2,2454,1,230500
3486,2,5449,5,2,1600,1,490000
3487,2,5450,5,2,1600,1,508000
3488,2,5450,5,2,1600,1,468750
3489,2,5451,5,2,1600,1,355000
3490,2,5453,5,2,2214,1,531000
3491,2,5453,5,2,2214,1,515000
3492,2,5453,5,2,1899,1,533000
3493,2,5487,5,2,3990,1,366054
3494,2,5501,5,2,1998,1,579000
3495,2,5501,5,2,1772,1,420000
3496,2,5502,5,2,2016,1,520000
3497,2,5504,5,2,1536,1,420000
3498,2,5518,5,2,2500,1,685000
3499,2,5520,5,2,2736,1,600000
3500,2,5523,5,2,3181,1,762500
3501,2,5526,5,2,2000,1,380000
3502,2,5526,5,2,2037,1,699000
3503,2,5526,5,2,1512,1,590000
3504,2,5529,5,2,1802,1,430000
3505,2,5531,5,2,2800,1,643500
3506,2,5532,5,2,2310,1,460000
3507,2,5532,5,2,1902,1,565000
3508,2,5534,5,2,2215,1,640000
3509,2,5543,5,2,1600,1,387000
3510,2,5544,5,2,1641,1,425000
3511,2,5544,5,2,1641,1,425000
3512,2,5544,5,2,1600,1,475000
3513,2,5545,5,2,1680,1,300000
3514,2,5545,5,2,1533,1,479000
3515,2,5545,5,2,2212,1,355000
3516,2,5545,5,2,2106,1,318000
3517,2,5545,5,2,1780,1,354000
3518,2,5545,5,2,1600,1,550000
3519,2,5545,5,2,1600,1,519000
3520,2,5545,5,2,1600,1,570000
3521,2,5545,5,2,1600,1,279000
3522,2,5545,5,2,1600,1,400000
3523,2,5545,5,2,1800,1,490000
3524,2,5561,5,2,1600,1,200000
3525,2,5561,5,2,1600,1,300000
3526,2,5561,5,2,1600,1,568000
3527,2,5561,5,2,1600,1,549000
3528,2,5561,5,2,1600,1,434000
3529,2,5562,5,2,1600,1,550000
3530,2,5562,5,2,2637,1,735000
3531,2,5576,5,2,1624,1,449000
3532,2,5577,5,2,1890,1,294060
3533,2,5577,5,2,1617,1,625000
3534,2,5578,5,2,1700,1,572000
3535,2,5581,5,2,2000,1,735000
3536,2,5582,5,2,2392,1,491790
