,borouch,building category,zipCode,residental units,gross square,taxClass,sale price
756,1,5,10028,20,8120,2,6500000
757,1,5,10028,10,8065,2,11200000
758,1,5,10028,17,8145,2,5828968
759,1,5,10028,9,8375,2,8140000
760,1,5,10128,10,8745,2,10350000
761,1,5,10028,20,9745,2,12500000
762,1,5,10128,16,15596,2,15800000
763,1,5,10075,233,277073,2,34340699
764,1,5,10028,15,9630,2,7314907
765,1,6,10028,14,10560,2,550000
766,1,5,10028,2,4704,2,42000000
767,1,7,10128,0,28728,4,17100000
768,1,7,10128,2,4146,4,1800000
769,1,7,10028,0,10946,4,18200000
770,1,7,10128,0,9570,4,11100000
771,1,7,10128,91,53525,4,35000000
772,1,7,10128,0,4284,4,9975000
773,1,5,10029,32,26100,2,1741816
774,1,5,10029,11,8630,2,9734400
775,1,5,10029,24,14784,2,6827200
776,1,5,10029,60,57512,2,10140400
777,1,1,10023,1,6485,1,15500000
778,1,1,10023,1,4932,1,7075000
779,1,1,10023,1,10897,1,15800000
780,1,1,10024,2,4590,1,6450000
781,1,1,10024,2,3807,1,5400000
782,1,1,10024,2,6875,1,6750000
783,1,1,10023,3,6328,1,14900000
784,1,5,10023,10,6180,2,5100000
785,1,5,10023,10,6122,2,5100000
786,1,5,10023,7,6531,2,5700000
787,1,5,10023,10,6399,2,6550000
788,1,5,10024,7,3636,2,5500000
789,1,5,10023,7,6173,2,5550000
790,1,5,10024,9,4336,2,3000000
791,1,5,10024,10,6140,2,660000
792,1,5,10023,5,6476,2,9050000
793,1,7,10023,3,7243,4,7700000
794,1,7,10023,0,184060,4,145000000
795,1,1,10024,1,6168,1,13000000
796,1,1,10025,1,3050,1,3500000
797,1,1,10024,1,4092,1,9400000
798,1,1,10024,1,4586,1,5100000
799,1,1,10024,1,5070,1,5500000
800,1,1,10024,1,8500,1,11850000
801,1,1,10024,1,5377,1,12235640
802,1,1,10024,2,6069,1,8000000
803,1,1,10025,2,4024,1,5125000
804,1,1,10024,3,4900,1,9475000
805,1,1,10025,3,3148,1,2482893
806,1,1,10024,3,3400,1,5510000
807,1,5,10024,5,5782,2,5950000
808,1,5,10024,4,5509,2,11650000
809,1,5,10024,10,6270,2,6990000
810,1,5,10024,4,5210,2,10000000
811,1,5,10025,4,4124,2,5100000
812,1,5,10025,4,5560,2,10500000
813,1,5,10024,8,8125,2,5275000
814,1,5,10024,10,7330,2,7600000
815,1,5,10024,6,4108,2,5700000
816,1,5,10024,8,5160,2,4240000
817,1,5,10024,8,4100,2,3045000
818,1,5,10024,5,5015,2,6500000
819,1,5,10024,6,4109,2,3788000
820,1,5,10024,10,6674,2,6696625
821,1,5,10024,9,9396,2,11700000
822,1,5,10024,153,141498,2,172500000
823,1,5,10024,20,15735,2,9001000
824,1,6,10024,193,600613,2,1400000
825,1,2,10025,146,155975,2,41000000
826,1,7,10024,0,51520,4,42000000
827,1,9,10025,0,4532,4,4250000
828,1,1,10025,1,4008,1,7340000
829,1,1,10025,2,4520,1,7250000
830,1,1,10025,3,5220,1,5000000
831,1,5,10025,15,8760,2,6350000
832,1,5,10025,13,11110,2,7500000
833,1,5,10025,15,9440,2,5243000
834,1,5,10025,15,6942,2,4000000
835,1,5,10025,18,10584,2,2650000
836,1,5,10025,10,5810,2,4550000
837,1,5,10025,10,6100,2,4775000
838,1,5,10025,36,36252,2,23500000
839,1,5,10025,94,118591,2,86500000
840,1,1,10032,2,1656,1,700000
841,1,1,10032,2,2500,1,1700000
842,1,1,10032,2,3225,1,2200000
843,1,1,10032,3,3300,1,2350000
844,1,1,10033,3,2592,1,816425
845,1,5,10032,46,19740,2,9000000
846,1,5,10032,10,9685,2,5355000
847,1,5,10032,10,9685,2,5500000
848,1,5,10032,20,9685,2,4000000
849,1,5,10032,10,9685,2,3900000
850,1,5,10032,10,9685,2,4100000
851,1,5,10032,8,6445,2,2850000
852,1,5,10032,30,21600,2,13000000
853,1,5,10032,7,2817,2,1350000
854,1,5,10033,30,24144,2,14100000
855,1,5,10032,31,26005,2,9850000
856,1,5,10032,44,42546,2,15150000
857,1,5,10032,48,52896,2,14650000
858,1,5,10032,40,51550,2,21150000
859,1,5,10032,44,45624,2,12000000
860,1,5,10032,35,44868,2,17500000
861,1,5,10032,84,40185,2,18200000
862,1,5,10033,42,31860,2,11600000
863,1,5,10032,42,56190,2,23738428
864,1,5,10032,60,75852,2,20441978
865,1,5,10032,75,66138,2,23009004
866,1,5,10032,45,68178,2,18000000
867,1,5,10032,65,72090,2,16310588
868,1,5,10033,95,124789,2,41000000
869,1,5,10033,49,64518,2,36161535
870,1,5,10032,5,3068,2,1515000
871,1,5,10032,3,3320,2,1130000
872,1,1,10033,2,2304,1,940000
873,1,1,10033,2,2544,1,911460
874,1,5,10033,20,17450,2,5075000
875,1,5,10033,20,17450,2,4500000
876,1,5,10033,25,16955,2,7900000
877,1,5,10033,25,18350,2,7900000
878,1,5,10033,12,9755,2,12350000
879,1,5,10033,4,2590,2,1280000
880,1,5,10040,29,26175,2,4400000
881,1,5,10040,30,26210,2,7100000
882,1,5,10033,12,25260,2,12225000
883,1,5,10033,18,24870,2,6550000
884,1,5,10040,25,21080,2,6975000
885,1,5,10033,30,26730,2,7500000
886,1,5,10033,63,54370,2,16185560
887,1,5,10040,68,66240,2,20800000
888,1,5,10040,31,21924,2,7750000
889,1,5,10033,30,35582,2,11925000
890,1,5,10033,52,51144,2,32000000
891,1,5,10033,64,56850,2,40100000
892,1,5,10040,25,20988,2,5650000
893,1,5,10033,5,5050,2,2000000
894,2,1,10457,1,1587,1,140000
895,2,1,10457,1,1764,1,420000
896,2,1,10457,1,2047,1,127000
897,2,1,10457,1,1431,1,273796
898,2,1,10457,1,1431,1,231244
899,2,1,10457,1,1048,1,290000
900,2,1,10457,2,2394,1,530000
901,2,1,10457,2,2800,1,400000
902,2,1,10457,2,1494,1,305000
903,2,1,10457,2,3240,1,700000
904,2,1,10458,2,1944,1,500000
905,2,1,10458,2,1944,1,875025
906,2,1,10458,2,2133,1,540625
907,2,1,10457,2,1872,1,250000
908,2,1,10457,2,2901,1,494000
909,2,1,10457,2,2340,1,240000
910,2,1,10457,2,1580,1,200000
911,2,1,10458,2,2805,1,290000
912,2,1,10458,2,2805,1,165000
913,2,1,10457,3,2880,1,365000
914,2,1,10458,3,2302,1,545000
915,2,1,10457,3,2160,1,299000
916,2,1,10458,3,1344,1,321065
917,2,1,10457,3,3316,1,600000
918,2,1,10457,3,2730,1,689399
919,2,1,10457,3,2730,1,460000
920,2,5,10458,8,8884,2,1315000
921,2,5,10457,4,4187,2,400000
922,2,5,10457,13,9630,2,1980000
923,2,5,10458,12,9792,2,1875000
924,2,5,10458,27,22000,2,4052000
925,2,5,10451,20,18279,2,4461000
926,2,5,10457,7,5400,2,880000
927,2,7,10457,0,11349,4,1800000
928,2,7,10457,0,3154,4,375000
929,2,7,10457,0,16380,4,3000000
930,2,7,10457,0,8804,4,1700000
931,2,7,10458,0,4984,4,800000
932,2,7,10457,0,5980,4,1900000
933,2,9,10456,0,7000,4,400000
934,2,1,10469,1,1018,1,325000
935,2,1,10469,1,1018,1,127000
936,2,1,10469,1,1998,1,400000
937,2,1,10469,1,1024,1,215982
938,2,1,10469,1,2112,1,599000
939,2,1,10469,1,2112,1,326000
940,2,1,10469,1,1254,1,350000
941,2,1,10469,1,1254,1,317200
942,2,1,10469,1,1254,1,340000
943,2,1,10469,1,1738,1,305000
944,2,1,10469,1,2430,1,325000
945,2,1,10469,1,1567,1,345000
946,2,1,10469,1,1681,1,325000
947,2,1,10469,1,1681,1,335000
948,2,1,10469,1,1280,1,374000
949,2,1,10469,1,1782,1,293944
950,2,1,10469,1,1920,1,315000
951,2,1,10469,1,1681,1,380000
952,2,1,10469,1,1406,1,340000
953,2,1,10469,1,1736,1,430000
954,2,1,10469,1,1260,1,245000
955,2,1,10469,1,1782,1,300000
956,2,1,10469,1,1440,1,251000
957,2,1,10469,1,1863,1,180000
958,2,1,10469,1,1505,1,370000
959,2,1,10469,1,1096,1,420000
960,2,1,10469,1,1260,1,356000
961,2,1,10469,1,1056,1,483000
962,2,1,10469,1,1056,1,182000
963,2,1,10469,1,1368,1,370000
964,2,1,10469,1,1714,1,455000
965,2,1,10469,1,1714,1,247000
966,2,1,10469,1,1782,1,579000
967,2,1,10469,1,1782,1,170000
968,2,1,10469,1,1539,1,271000
969,2,1,10469,1,1890,1,217500
970,2,1,10469,1,948,1,257000
971,2,1,10469,1,992,1,295000
972,2,1,10469,1,1224,1,378000
973,2,1,10469,1,1944,1,499000
974,2,1,10469,1,1690,1,454000
975,2,1,10469,1,1690,1,270000
976,2,1,10469,1,1384,1,270000
977,2,1,10469,1,1384,1,348000
